id_penulis,penulis,tempat_lahir,tanggal_lahir,jumlah_buku
WN24001,Nur St. Iskandar,Padang,3 November 1893,15
WN24002,Idrus,Padang,21 September 1921,18
WN24003,Arswendo Atmowiloto,Solo,26 November 1948,118
WN24004,Mira W,Jakarta,13 September 1951,103
WN24005,A. Mustafa,Jakarta,23 September 1951,1
WN24006,Ayu Utami,Bogor,21 November 1968,26
WN24007,Agnes Jessica,Jakarta,4 April 1974,47
WN24008,Eka Kurniawan,Tasikmalaya,28 November 1975,47
WN24009,Shienny M.S.,,25 September 1981,24
WN24010,Adi Toha,Pekalongan,22 September 1982,24
WN24011,Orizuka,Palembang,14 September 1986,28
WN24012,Faisal Oddang,Sulawesi Selatan,18 September 1994,33
WN24013,Adham T.Fusama,Palembang,10 November 1994,7
WN24014,Pramoedya Ananta Toer,Blora,06 Februari 1925,98
WN24015,Winna Efendi,Jakarta,06 Januari 1986,17
WN24016,Pidi Baiq,Bandung,08 Agustus 1972,26
WN24017,Abidah El Khalieqy,Jombang,1 Maret 1965,17
WN24018,Ziggy Zezsyazeoviennazabrizkie,Lampung,10 Oktober 1993,28
WN24019,Remy Sylado,Makassar,12 Juli 1945,37
WN24020,Ahmad Tohari,Tinggarjaya,13 Juni 1948,44
WN24021,Gerson Poyk,Namodele,16 Juni 1931,20
WN24022,Dian Purnomo,Salatiga,19 Juli 1976,9
WN24023,Seno Gumira Ajidarma,Boston,19 Juni 1958,91
WN24024,Dee Lestari,Bandung,20 Januari 1975,25
WN24025,Tere Liye,"Lahat, Sumatera Selatan",21 Mei 1979,72
WN24026,Evline Kartika,Bukit Tinggi,22 Juli 1907,1
WN24027,Risa Saraswati,Bandung,24 Februari 1985,24
WN24028,Andrea Hirata,Pulau Belitung,24 Oktober 1967,18
WN24029,"Ika Natassa
",Medan,25 Desember 1977,19
WN24030,Suparto Brata,Surabaya,27 Februari 1932,31
WN24031,Marga T.,Jakarta,27 Januari 1943,67
WN24032,Puthut EA,Rembang,28 Maret 1977,65
WN24033,Fiersa Besari,Bandung,3 Maret 1984,6
WN24034,Ahmad Fuadi,"Bayur, Sumatera Barat",30 Desember 1973,20
WN24035,Azhari Aiyub,Banda Aceh,5 Oktober 1981,16
WN24036,Ilana Tan ,Jakarta,11 Desember 1977,11
WN24037,Nafta S. Meika,,,5